30 59
2 7
3 34
4 26
5 36
6 39
7 36
8 10
9 23
10 31
11 46
12 23
13 1
14 6
15 31
16 12
17 6
18 28
19 40
20 16
21 43
22 46
23 19
24 1
25 33
26 1
27 31
28 1
29 20
2 1 17
3 1 3
4 3 4
5 4 12
6 1 16
7 6 14
8 2 18
9 8 46
10 6 19
11 8 31
12 7 49
13 6 40
14 8 16
15 6 28
16 6 24
17 15 37
18 15 49
19 8 19
20 11 20
21 5 45
22 3 3
23 11 32
24 13 48
25 4 46
26 1 38
27 12 15
28 22 23
29 14 34
30 22 48
24 15 45
16 13 43
14 6 16
21 10 19
2 20 41
21 27 36
19 5 11
6 11 33
15 2 26
8 16 20
15 20 15
30 24 10
28 7 2
26 27 1
26 29 49
3 19 15
3 29 46
2 27 47
8 28 24
7 5 46
21 24 10
21 17 21
4 2 35
25 22 32
11 24 43
8 18 29
2 14 27
9 11 1
16 7 48
28 30 7
0 0
